pintu_masuk,bulan,tahun_2009,tahun_2010,growth
"Pelabuhan Tanjung Pinang, Kepulauan Riau",Oktober,7598,7237,4.75
"Pelabuhan Tanjung Pinang, Kepulauan Riau",November,7864,8167,3.85
"Pelabuhan Tanjung Pinang, Kepulauan Riau",Desember,9382,10078,7.42
"Bandar Udara Selaparang, Mataram",Januari,1130,727,-35.66
"Bandar Udara Selaparang, Mataram",Februari,858,974,13.52
"Bandar Udara Selaparang, Mataram",Maret,949,1233,29.93
"Bandar Udara Selaparang, Mataram",April,1161,1319,13.61
"Bandar Udara Selaparang, Mataram",Mei,983,1170,19.02
"Bandar Udara Selaparang, Mataram",Juni,1270,1585,24.8
"Bandar Udara Selaparang, Mataram",Juli,1590,2134,34.21
"Bandar Udara Selaparang, Mataram",Agustus,1311,2171,65.6
"Bandar Udara Selaparang, Mataram",September,1121,1340,19.54
"Bandar Udara Selaparang, Mataram",Oktober,1200,1459,21.58
"Bandar Udara Selaparang, Mataram",November,1129,1253,10.98
"Bandar Udara Selaparang, Mataram",Desember,1206,1863,54.48
"Bandar Udara Sultan Hasanuddin, Makassar",Januari,664,1913,188.1
"Bandar Udara Sultan Hasanuddin, Makassar",Februari,659,2045,210.32
"Bandar Udara Sultan Hasanuddin, Makassar",Maret,2078,1060,-48.99
"Bandar Udara Sultan Hasanuddin, Makassar",April,709,925,30.47
"Bandar Udara Sultan Hasanuddin, Makassar",Mei,777,913,17.5
"Bandar Udara Sultan Hasanuddin, Makassar",Juni,772,1093,41.58
"Bandar Udara Sultan Hasanuddin, Makassar",Juli,957,935,-2.3
"Bandar Udara Sultan Hasanuddin, Makassar",Agustus,951,1026,7.89
"Bandar Udara Sultan Hasanuddin, Makassar",September,797,946,18.7
"Bandar Udara Sultan Hasanuddin, Makassar",Oktober,2465,950,-61.46
"Bandar Udara Sultan Hasanuddin, Makassar",November,4380,3059,-30.16
"Bandar Udara Sultan Hasanuddin, Makassar",Desember,5013,1326,-73.55
